t.statistic	df	p_value	cor_estimate	ci_95_low	ci_95_high	sample_id
140.992571268339	28668	0	0.639904930272566	0.633018371030546	0.646690219641298	M_442_2
310.806102178572	28668	0	0.878150017299718	0.875473743745859	0.880772429845699	N_442_3
227.484609017354	28668	0	0.802190320249031	0.798025106113552	0.806278892143879	P_684_4
187.191817857101	28668	0	0.741629896779554	0.736376017619371	0.746794337852867	M_684_5
214.971234125704	28668	0	0.785589374076982	0.78111705470827	0.789981087969672	N_684_6
211.201831665156	28668	0	0.780229015407751	0.775658933889467	0.78471728645623	N_819_7
183.227622219411	28668	0	0.734437582415381	0.729060201883891	0.739724302740014	P_819_8
111.030120504197	28668	0	0.548367519852046	0.540221184164317	0.556411088563802	M_1144_9
238.836630102472	28668	0	0.815798338021746	0.811889754867965	0.819633792477858	N_1144_10
132.648974064563	28668	0	0.61671353171558	0.609489068890983	0.623835578659102	M_1231_11
136.525113216993	28668	0	0.627695987377852	0.620629955032351	0.634660078832367	M_1291_12
202.719788852209	28668	0	0.767507445999615	0.762708084239448	0.772222281371458	N_618_14
190.037734865754	28668	0	0.746640472147226	0.741473357260942	0.751719036768823	M_618_15
151.846069075631	28668	0	0.667655366022712	0.661189867946587	0.674021694536803	P_655_16
259.043137353198	28668	0	0.83705557536213	0.833556704668029	0.840487293584505	N_655_17
152.321604981482	28668	0	0.668811792124598	0.662364236547776	0.675160283370236	M_655_18
233.307675095588	28668	0	0.809333063031809	0.805302002721256	0.813289295289438	N_liver_655_19
210.041802538457	28668	0	0.778543935919643	0.773943263148194	0.783062426879737	M_656_20
136.095971678836	28668	0	0.626498102083671	0.619414650673622	0.633479554917641	P_761_21
200.010728367969	28668	0	0.763242458510787	0.758367090418751	0.768032434558042	N_761_22
157.5629364827	28668	0	0.681241676317721	0.674988977213826	0.687396533486852	P_622_23
134.90964614911	28668	0	0.623163422986641	0.616031659089825	0.63019303532778	M_622_24
151.034795667042	28668	0	0.665671268114615	0.65917505963436	0.672068129830093	M_622_25
160.698820311093	28668	0	0.688407943399951	0.682269250231101	0.694449576107703	M_663_26
158.44907251039	28668	0	0.683286895271769	0.677066608778121	0.689409557097053	M_705_27
220.987812871964	28668	0	0.793793152412719	0.789471777180976	0.798035836729299	N_liver_705_28
177.51771150086	28668	0	0.72362515882714	0.71806442645487	0.729093508511238	P_722_29
174.4220151473	28668	0	0.717530696468045	0.711867840254717	0.723100259189684	N_722_30
202.181556373384	28668	0	0.766668090244555	0.76185373614787	0.771397745819998	N_liver_722_31
76.7711566550324	28668	0	0.412952254582983	0.403304651416674	0.422508063428878	M_722_37
